"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"pcg_408100","Fournisseurs d'exploitation","408100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_408400","Fournisseurs d'immobilisations","408400","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_408800","Fournisseurs - Intérêts courus","408800","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_409100","Fournisseurs - Avances et acomptes versés sur commandes","409100","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_409600","Fournisseurs - Créances pour emballages et matériel à rendre","409600","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_409710","Fournisseurs d'exploitation","409710","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_409740","Fournisseurs d'immobilisations","409740","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_409800","Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus","409800","account.data_account_type_payable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_411100","Clients - Ventes de biens ou de prestations de services","411100","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_411101","Clients - Ventes de biens ou de prestations de services POS","411101","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_411700","Clients - Retenues de garantie","411700","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_413000","Clients - Effets à recevoir","413000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_416000","Clients douteux ou litigieux","416000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_417000","Créances sur travaux non encore facturables","417000","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_418100","Factures à établir","418100","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_418800","Intérêts courus","418800","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_419100","Clients - Avances et acomptes reçus sur commandes","419100","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_419600","Clients - Dettes pour emballages et matériels consignés","419600","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_419700","Clients - Autres avoirs","419700","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_419800","Rabais, remises, ristournes à accorder et autres avoirs à établir","419800","account.data_account_type_receivable","l10n_tn.l10n_tn_pcg_chart_template",,"True"
"pcg_421000","Personnel - avances et acomptes","421000","account.data_account_type_expenses","l10n_tn.l10n_tn_pcg_chart_template",,"True"
